Safari Mobile 5.0|Version/5.0.2Mobile|
Safari Mobile 5.0|Version/5.0.1Mobile|
Safari Mobile 5.0|Version/5.0Mobile|
Safari Mobile 5.0|Safari/6533.18.5|
Safari Mobile 4.2|Version/4.2MobileSafari|
Safari Mobile 4.1|Version/4.1Mobile|
Safari Mobile 4.0|Version/4.0Mobile|
Safari Mobile 4.0|Safari/6531.22.7|
Safari Mobile 4.0|Safari/531.21.10|
Safari Mobile 4.0|MobileSafari/530.17|
Safari Mobile 4.0|MobileSafari/534.24|
Safari Mobile 4.0|Safari/528.16|
Safari Mobile 3.1|Version/3.1.1Mobile|
Safari Mobile 3|Version/3.0.4Mobile|
Safari Mobile 3|Version/3.0Safari/525|
Safari Mobile 3|Version/3.0Mobile|
Safari Mobile 3|MobileSafari/525.20.1|
Safari Mobile 3|MobileSafari/533.1|
Safari Mobile|Safari/420+|
Safari Mobile|MobileSafari|
Chromium 51|Chromium/51|
Chromium 50|Chromium/50|
Chromium 49|Chromium/49|
Chromium 48|Chromium/48|
Chromium 47|Chromium/47|
Chromium 46|Chromium/46|
Chromium 45|Chromium/45|
Chromium 44|Chromium/44|
Chromium 43|Chromium/43|
Chromium 42|Chromium/42|
Chromium 41|Chromium/41|
Chromium 40|Chromium/40|
Chromium 39|Chromium/39|
Chromium 38|Chromium/38|
Chromium 37|Chromium/37|
Chromium 36|Chromium/36|
Chromium 35|Chromium/35|
Chromium 34|Chromium/34|
Chromium 33|Chromium/33|
Chromium 32|Chromium/32|
Chromium 31|Chromium/31|
Chromium 30|Chromium/30|
Chromium 29|Chromium/29|
Chromium 28|Chromium/28|
Chromium 27|Chromium/27|
Chromium 26|Chromium/26|
Chromium 25|Chromium/25|
Chromium 24|Chromium/24|
Chromium 23|Chromium/23|
Chromium 22|Chromium/22|
Chromium 21|Chromium/21|
Chromium 20|Chromium/20|
Chromium 19|Chromium/19|
Chromium 18|Chromium/18|
Chromium 17|Chromium/17|
Chromium 16|Chromium/16|
Chromium 15|Chromium/15|
Chromium 14|Chromium/14|
Chromium 13|Chromium/13|
Chromium|Chromium|
Chrome 49|Chrome/49|
Chrome 48|Chrome/48|
Chrome 47|Chrome/47|
Chrome 46|Chrome/46|
Chrome 45|Chrome/45|
Chrome 44|Chrome/44|
Chrome 43|Chrome/43|
Chrome 42|Chrome/42|
